DATE,ISBN,Title,Weekly Sales,Weekly Average Rank
4/21/01,'0596000405,Java Servlet Programming (2nd Edition),227,238
4/21/01,'0596000278,Java Servlet Programming (2nd Edition),269,258
4/21/01,'1565922840,Programming Perl (3rd Edition),135,388
4/21/01,'1565923928,Developing Bioinformatics Computer Skills,481,402
4/21/01,'1565924274,Programming Perl (3rd Edition),145,408
4/21/01,'059600110X,Dns and Bind,136,504
4/21/01,'059600026X,Programming Perl (3rd Edition),135,517
4/21/01,'0596000464,Javascript : The Definitive Guide (3rd Edition),137,579
4/21/01,'0596000588,HTML & XHTML : The Definitive Guide,111,694
4/21/01,'0596000111,XML in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),116,728
4/21/01,'1565924878,Java Servlet Programming (2nd Edition),141,737
4/21/01,'1565924940,Learning XML,99,738
4/21/01,'1565928695,Javascript : The Definitive Guide (3rd Edition),120,764
4/21/01,'1565928717,Unix in a Nutshell: A Desktop Quick Reference for SVR4 and Solaris 7 (3rd Edition),120,774
4/21/01,'0596001223,XML in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),93,840
4/21/01,'1565922824,Javascript : The Definitive Guide (3rd Edition),124,921
4/21/01,'0596001045,HTML & XHTML : The Definitive Guide,99,956
4/21/01,'1565922433,"SSH, the Secure Shell : The Definitive Guide",92,1009
4/21/01,'059600009X,Enterprise Javabeans,82,1039
4/21/01,'1565927680,Learning XML,95,1054
4/21/01,'059600060X,Learning XML,104,1110
4/21/01,'0596000391,Learning Perl (2nd Edition),143,1131
4/21/01,'0596000162,Learning Perl (2nd Edition),69,1163
4/21/01,'1565923588,Peer-to-Peer : Harnessing the Power of Disruptive Technologies,107,1192
4/21/01,'1565924177,iMovie 2 : The Missing Manual,78,1198
4/21/01,'1565922573,Java in a Nutshell : A Desktop Quick Reference (Java Series) (3rd Edition),84,1206
4/21/01,'1565925157,Securing Windows NT/2000 Servers for the Internet,80,1239
4/21/01,'1565923359,"SSH, the Secure Shell : The Definitive Guide",88,1266
4/21/01,'1565926978,Building Internet Firewalls (2nd Edition),62,1307
4/21/01,'0596000022,"SSH, the Secure Shell : The Definitive Guide",79,1312
4/21/01,'1565927524,Understanding the LINUX Kernel: From I/O Ports to Process Management,58,1320
4/21/01,'0596001215,Understanding the LINUX Kernel: From I/O Ports to Process Management,47,1365
4/21/01,'0596000669,Enterprise Javabeans,66,1394
4/21/01,'0596000154,Unix in a Nutshell: A Desktop Quick Reference for SVR4 and Solaris 7 (3rd Edition),81,1405
4/21/01,'1565925122,XML in a Nutshell : A Desktop Quick Reference (Nutshell Handbook),88,1412
4/21/01,'1565924649,Securing Windows NT/2000 Servers for the Internet,60,1491
4/21/01,'0596000685,Java in a Nutshell : A Desktop Quick Reference (Java Series) (3rd Edition),76,1569
