,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
01/01/2000,"439,912",153.7,"286,000","278,250","2,761,926",131.4,"2,102,000","2,099,250",2.2,1.7,"123,830,071"
01/08/2000,"606,897",203.6,"298,000","284,750","2,686,013",127.5,"2,107,000","2,108,500",2.2,1.7,"123,830,071"
01/15/2000,"442,494",152.9,"289,000","285,250","2,588,921",122.4,"2,115,000","2,106,500",2.1,1.7,"123,830,071"
01/22/2000,"328,841",115.6,"284,000","289,250","2,547,393",123.6,"2,061,000","2,096,250",2.1,1.7,"123,830,071"
01/29/2000,"332,740",116.6,"285,000","289,000","2,676,851",123.7,"2,164,000","2,111,750",2.2,1.7,"123,830,071"
02/05/2000,"365,245",117.1,"312,000","292,500","2,618,066",121.2,"2,160,000","2,125,000",2.1,1.7,"123,830,071"
02/12/2000,"311,897",103.9,"300,000","295,250","2,658,811",124.2,"2,141,000","2,131,500",2.1,1.7,"123,830,071"
02/19/2000,"281,256",99.3,"283,000","295,000","2,520,055",118.2,"2,132,000","2,149,250",2,1.7,"123,830,071"
02/26/2000,"258,962",92.4,"280,000","293,750","2,629,550",121.9,"2,157,000","2,147,500",2.1,1.7,"123,830,071"
03/04/2000,"283,024",99.1,"286,000","287,250","2,478,089",118.1,"2,098,000","2,132,000",2,1.7,"123,830,071"
03/11/2000,"255,109",94.5,"270,000","279,750","2,461,643",117.3,"2,099,000","2,121,500",2,1.7,"123,830,071"
03/18/2000,"242,139",89.5,"271,000","276,750","2,327,966",113.5,"2,051,000","2,101,250",1.9,1.7,"123,830,071"
03/25/2000,"239,835",88.1,"272,000","274,750","2,304,255",111.4,"2,068,000","2,079,000",1.9,1.7,"123,830,071"
04/01/2000,"229,520",86.2,"266,000","269,750","2,167,594",107,"2,026,000","2,061,000",1.7,1.6,"124,674,680"
04/08/2000,"274,130",102.4,"268,000","269,250","2,114,001",104.3,"2,027,000","2,043,000",1.7,1.6,"124,674,680"
04/15/2000,"237,218",91.6,"259,000","266,250","2,008,759",102.4,"1,962,000","2,020,750",1.6,1.6,"124,674,680"
04/22/2000,"240,266",87.8,"274,000","266,750","2,016,353",99.1,"2,035,000","2,012,500",1.6,1.6,"124,674,680"
04/29/2000,"249,458",85.7,"291,000","273,000","1,957,972",96.6,"2,027,000","2,012,750",1.6,1.6,"124,674,680"
05/06/2000,"259,546",88.7,"293,000","279,250","1,855,390",93.2,"1,991,000","2,003,750",1.5,1.6,"124,674,680"
05/13/2000,"231,706",84,"276,000","283,500","1,837,764",92.7,"1,982,000","2,008,750",1.5,1.6,"124,674,680"
05/20/2000,"234,599",83.9,"280,000","285,000","1,800,077",90.1,"1,998,000","1,999,500",1.4,1.6,"124,674,680"
05/27/2000,"239,836",85.6,"280,000","282,250","1,776,119",89.4,"1,987,000","1,989,500",1.4,1.6,"124,674,680"
06/03/2000,"242,991",83.9,"290,000","281,500","1,849,401",91.6,"2,019,000","1,996,500",1.5,1.6,"124,674,680"
06/10/2000,"267,752",94.2,"284,000","283,500","1,836,042",90.9,"2,020,000","2,006,000",1.5,1.6,"124,674,680"
06/17/2000,"265,617",90.4,"294,000","287,000","1,869,730",91.6,"2,041,000","2,016,750",1.5,1.6,"124,674,680"
06/24/2000,"273,344",92.3,"296,000","291,000","1,876,056",92.3,"2,033,000","2,028,250",1.5,1.6,"124,674,680"
07/01/2000,"280,979",99.9,"281,000","288,750","1,862,788",90.8,"2,052,000","2,036,500",1.5,1.6,"125,333,709"
07/08/2000,"363,793",124.1,"293,000","291,000","2,140,632",102,"2,099,000","2,056,250",1.7,1.7,"125,333,709"
07/15/2000,"377,982",124.6,"303,000","293,250","2,158,335",101.7,"2,122,000","2,076,500",1.7,1.7,"125,333,709"
07/22/2000,"296,255",98.7,"300,000","294,250","2,009,764",97.1,"2,070,000","2,085,750",1.6,1.7,"125,333,709"
07/29/2000,"253,466",85,"298,000","298,500","1,999,953",95.9,"2,085,000","2,094,000",1.6,1.7,"125,333,709"
08/05/2000,"266,151",87,"306,000","301,750","1,966,461",93.8,"2,096,000","2,093,250",1.6,1.7,"125,333,709"
08/12/2000,"261,358",82.9,"315,000","304,750","1,972,344",93.5,"2,109,000","2,090,000",1.6,1.7,"125,333,709"
08/19/2000,"251,844",79.3,"318,000","309,250","1,956,668",91.2,"2,145,000","2,108,750",1.6,1.7,"125,333,709"
08/26/2000,"239,030",76.7,"312,000","312,750","1,905,264",89.9,"2,119,000","2,117,250",1.5,1.7,"125,333,709"
09/02/2000,"242,375",80.4,"301,000","311,500","1,836,897",84.7,"2,169,000","2,135,500",1.5,1.7,"125,333,709"
09/09/2000,"229,954",74.4,"309,000","310,000","1,854,756",86.7,"2,139,000","2,143,000",1.5,1.7,"125,333,709"
09/16/2000,"245,991",79.1,"311,000","308,250","1,759,993",83.2,"2,115,000","2,135,500",1.4,1.7,"125,333,709"
09/23/2000,"222,219",77.1,"288,000","302,250","1,726,654",82.3,"2,098,000","2,130,250",1.4,1.7,"125,333,709"
09/30/2000,"227,249",77.7,"292,000","300,000","1,699,344",81.8,"2,077,000","2,107,250",1.4,1.7,"125,333,709"
10/07/2000,"292,784",94.9,"309,000","300,000","1,723,497",80.8,"2,133,000","2,105,750",1.4,1.7,"126,084,568"
10/14/2000,"255,082",85.2,"299,000","297,000","1,788,584",84.2,"2,124,000","2,108,000",1.4,1.7,"126,084,568"
10/21/2000,"263,445",89.2,"295,000","298,750","1,753,464",84.2,"2,082,000","2,104,000",1.4,1.7,"126,084,568"
10/28/2000,"269,489",89.5,"301,000","301,000","1,822,289",85.7,"2,126,000","2,116,250",1.4,1.7,"126,084,568"
11/04/2000,"342,414",103.4,"331,000","306,500","1,774,889",84.1,"2,110,000","2,110,500",1.4,1.7,"126,084,568"
11/11/2000,"294,727",92.7,"318,000","311,250","1,972,938",91.3,"2,161,000","2,119,750",1.6,1.7,"126,084,568"
11/18/2000,"374,160",112.7,"332,000","320,500","1,898,521",83.3,"2,279,000","2,169,000",1.5,1.8,"126,084,568"
11/25/2000,"321,859",90.3,"356,000","334,250","2,394,176",104.3,"2,295,000","2,211,250",1.9,1.8,"126,084,568"
