ghnrs_j,z_ar025rpc
51.0,375000.0
73.0,150000.0
45.0,175000.0
47.0,51000.0
58.0,210000.0
65.0,1420000.0
43.0,535000.0
60.0,720000.0
57.0,42000.0
69.0,736000.0
70.0,5120000.0
26.0,316000.0
52.0,600001.0
48.0,1850000.0
68.0,175000.0
50.0,250000.0
77.0,915000.0
52.0,155000.0
60.0,595000.0
47.0,330000.0
68.0,2010000.0
63.0,221400.0
65.0,1558000.0
10.0,69000.0
43.0,478000.0
61.0,270001.0
52.0,877000.0
67.0,1100000.0
53.0,800000.0
42.0,1400000.0
47.0,545000.0
46.0,165000.0
43.0,1184500.0
73.0,220000.0
47.0,233000.0
52.0,1279000.0
65.0,450000.0
60.0,399000.0
42.0,544000.0
50.0,360000.0
45.0,400000.0
57.0,697000.0
56.0,673000.0
46.0,141920.0
63.0,3258000.0
55.0,400000.0
49.0,313000.0
62.0,362500.0
65.0,400000.0
57.0,72000.0
56.0,327000.0
51.0,11000.0
59.0,625000.0
56.0,120000.0
61.0,39998.0
58.0,293000.0
64.0,200000.0
49.0,310000.0
75.0,422000.0
62.0,665000.0
69.0,2160000.0
51.0,165000.0
64.0,670000.0
54.0,280000.0
67.0,1125000.0
75.0,900000.0
46.0,1367000.0
70.0,200000.0
51.0,1270000.0
56.0,99998.0
60.0,149998.0
61.0,361000.0
70.0,100000.0
50.0,209000.0
53.0,120000.0
62.0,403000.0
83.0,149998.0
49.0,800001.0
74.0,665000.0
61.0,172000.0
56.0,569000.0
57.0,325000.0
56.0,335000.0
69.0,114998.0
40.0,330000.0
60.0,130000.0
53.0,150000.0
49.0,425000.0
25.0,70000.0
61.0,115000.0
69.0,1220000.0
50.0,410000.0
52.0,149998.0
69.0,1030000.0
49.0,842200.0
58.0,391000.0
55.0,627000.0
72.0,840000.0
72.0,1290000.0
36.0,140000.0
74.0,1200000.0
36.0,210000.0
71.0,109998.0
59.0,545000.0
53.0,15000.0
56.0,208000.0
53.0,565000.0
57.0,160000.0
56.0,139998.0
38.0,14000.0
48.0,470000.0
64.0,119998.0
63.0,385000.0
53.0,80000.0
80.0,660000.0
73.0,100000.0
74.0,1145000.0
55.0,800000.0
66.0,235000.0
63.0,200000.0
61.0,1760000.0
68.0,316400.0
74.0,414000.0
51.0,100000.0
40.0,215000.0
54.0,1010000.0
61.0,199998.0
53.0,235000.0
62.0,435000.0
49.0,176000.0
68.0,249998.0
66.0,127000.0
60.0,475000.0
33.0,75000.0
65.0,925000.0
53.0,3690000.0
69.0,2185000.0
71.0,674000.0
59.0,950000.0
73.0,2663020.0
60.0,500000.0
59.0,492000.0
72.0,720000.0
46.0,183000.0
60.0,575000.0
54.0,832000.0
66.0,626800.0
59.0,1250000.0
38.0,1150000.0
48.0,499000.0
62.0,245000.0
63.0,670000.0
63.0,130000.0
69.0,115000.0
54.0,290000.0
60.0,625800.0
74.0,218000.0
37.0,435000.0
55.0,150000.0
63.0,330000.0
52.0,161000.0
57.0,465000.0
56.0,385000.0
55.0,441000.0
33.0,318000.0
63.0,320000.0
44.0,262000.0
36.0,633000.0
60.0,5100000.0
41.0,354000.0
50.0,150000.0
53.0,725000.0
51.0,2035000.0
69.0,340000.0
72.0,1533000.0
47.0,216500.0
39.0,170000.0
78.0,370000.0
64.0,1700000.0
69.0,288000.0
41.0,1850000.0
47.0,73000.0
47.0,1000.0
53.0,1380000.0
54.0,472000.0
72.0,230000.0
70.0,1840000.0
61.0,925000.0
58.0,150000.0
68.0,312000.0
63.0,455000.0
60.0,216000.0
49.0,468000.0
57.0,109998.0
62.0,124998.0
65.0,383000.0
60.0,825000.0
53.0,96000.0
58.0,730000.0
65.0,207000.0
64.0,2648000.0
77.0,370000.0
54.0,690000.0
45.0,183000.0
65.0,1750800.0
44.0,269998.0
65.0,1267000.0
57.0,371000.0
69.0,860000.0
56.0,485000.0
50.0,73000.0
67.0,2430000.0
55.0,493000.0
45.0,69000.0
73.0,56000.0
45.0,8085000.0
70.0,655000.0
85.0,95000.0
44.0,220000.0
53.0,100000.0
80.0,225000.0
28.0,99000.0
55.0,7000.0
76.0,260000.0
60.0,672000.0
73.0,1790000.0
74.0,1285000.0
60.0,367000.0
65.0,955000.0
37.0,629000.0
62.0,200000.0
35.0,295000.0
57.0,1977000.0
64.0,660000.0
45.0,442500.0
67.0,6350000.0
53.0,150000.0
